Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Hatchery Man,Date Submitted,Shift,Time Started,Incubator 1 Machine Temp. reading / Calibrator Temp. reading,Incubator 1 Humidity reading,Incubator 2 Machine Temp. reading / Calibrator Temp. reading,Incubator 2 Humidity reading,Incubator 3 Machine Temp. reading / Calibrator Temp. reading,Incubator 3 Humidity reading,Incubator 4 Machine Temp. reading / Calibrator Temp. reading,Incubator 4 Humidity reading,Incubator 5 Machine Temp. reading / Calibrator Temp. reading,Incubator 5 Humidity reading,Incubator 6 Machine Temp. reading / Calibrator Temp. reading,Incubator 6 Humidity reading,Incubator 7 Machine Temp. reading / Calibrator Temp. reading,Incubator 7 Humidity reading,Incubator 8 Machine Temp. reading / Calibrator Temp. reading,Incubator 8 Humidity reading,Incubator 9 Machine Temp. reading / Calibrator Temp. reading,Incubator 9 Humidity reading,Incubator 10 Machine Temp. reading / Calibrator Temp. reading,Incubator 10 Humidity reading,Corrective action,Approver on machine temperature adjustment,Time finished
"1213825471231766",2026-03-27,,2026-03-27,INCUBATOR TEMPERATURE CALIBRATION submission,Untitled section,,,,,,"Hatcheryman:
Rodel Marimla

Date:
Mar 27, 2026

Shift:
1st

Time started:
7am

Incubator 1 Machine Temp. reading / Calibrator Temp. reading:
99.8 / 99.8

Incubator 1 Humidity reading:
99.8

Incubator 2 Machine Temp. reading / Calibrator Temp. reading:
99.3 / 99.3

Incubator 2 Humidity reading:
99.3

Incubator 3 Machine Temp. reading / Calibrator Temp. reading:
99.3 / 99.3

Incubator 3 Humidity reading:
99.3

Incubator 4 Machine Temp. reading / Calibrator Temp. reading:
99.5  / 99.5

Incubator 4 Humidity reading:
99.5

Incubator 5 Machine Temp. reading / Calibrator Temp. reading:
99.5 / 99.5

Incubator 5 Humidity reading:
99.5

Incubator 6 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 6 Humidity reading:
0

Incubator 7 Machine Temp. reading / Calibrator Temp. reading:
100.0  / 100.0

Incubator 7 Humidity reading:
100.19

Incubator 8 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 8 Humidity reading:
0

Incubator 9 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 9 Humidity reading:
0

Incubator 10 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 10 Humidity reading:
0

Corrective action taken for un-match machine and calibrator temperature reading after 30 minutes of checking:
N/a

Approver on machine temperature adjustment:
N/A

Time finished:
7:40am

———————————————
This task was submitted through INCUBATOR TEMPERATURE CALIBRATION
https://form.asana.com/?k=-OgqMf660KEFQdcn3Wkysw&d=1186399537984407",INCUBATOR TEMPERATURE CALIBRATION,,,,Rodel Marimla,"Mar 27, 2026",1st,7am,99.8 / 99.8,99.8,99.3 / 99.3,99.3,99.3 / 99.3,99.3,99.5  / 99.5,99.5,99.5 / 99.5,99.5,0,0,100.0  / 100.0,100.19,0,0,0,0,0,0,N/a,N/A,7:40am
"1213515324722821",2026-03-06,,2026-03-06,INCUBATOR TEMPERATURE CALIBRATION submission,Untitled section,,,,,,"Hatcheryman:
Peter Paul Alap-ap 

Date:
Mar 6, 2026

Shift:
2nd

Time started:
3:00 pm

Incubator 1 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.6 F, / calibrator 99.7 F

Incubator 1 Humidity reading:
99.6

Incubator 2 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99. 3 F. / calibrator 99.3 F. 

Incubator 2 Humidity reading:
99.3

Incubator 3 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.5 F. / calibrator - 99.4 F. 

Incubator 3 Humidity reading:
99.4

Incubator 4 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.4 F. Calibrator 99.3 F

Incubator 4 Humidity reading:
99.5

Incubator 5 Machine Temp. reading / Calibrator Temp. reading:
Temp. - 99.3F / calibrator 99.4 F

Incubator 5 Humidity reading:
99.3

Incubator 6 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 6 Humidity reading:
00

Incubator 7 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 7 Humidity reading:
00

Incubator 8 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 8 Humidity reading:
00

Incubator 9 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 100.4/ calibrator 100.3 F. 

Incubator 9 Humidity reading:
00.3

Incubator 10 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 10 Humidity reading:
00

Corrective action taken for un-match machine and calibrator temperature reading after 30 minutes of checking:
N/A

Approver on machine temperature adjustment:
Jimmy Tungol and Sir Tony

Time finished:
3:30 p.m

———————————————
This task was submitted through INCUBATOR TEMPERATURE CALIBRATION
https://form.asana.com/?k=-OgqMf660KEFQdcn3Wkysw&d=1186399537984407",INCUBATOR TEMPERATURE CALIBRATION,,,,Peter Paul Alap-ap ,"Mar 6, 2026",2nd,3:00 pm,"Temp reading - 99.6 F, / calibrator 99.7 F",99.6,Temp reading - 99. 3 F. / calibrator 99.3 F. ,99.3,Temp reading - 99.5 F. / calibrator - 99.4 F. ,99.4,Temp reading - 99.4 F. Calibrator 99.3 F,99.5,Temp. - 99.3F / calibrator 99.4 F,99.3,00,00,00,00,00,00,Temp reading - 100.4/ calibrator 100.3 F. ,00.3,00,00,N/A,Jimmy Tungol and Sir Tony,3:30 p.m
"1213466368719715",2026-02-27,,2026-02-27,INCUBATOR TEMPERATURE CALIBRATION submission,Untitled section,,,,,,"Hatcheryman:
Peter Paul Alap-ap 

Date:
Feb 27, 2026

Shift:
2nd

Time started:
3:00 pm

Incubator 1 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.6 F, / calibrator 99.6 F

Incubator 1 Humidity reading:
99.5

Incubator 2 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.4F. / calibrator 99.3 F. 

Incubator 2 Humidity reading:
99.3

Incubator 3 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.5 F. / calibrator - 99.5 F. 

Incubator 3 Humidity reading:
99.3

Incubator 4 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.4 F. Calibrator 99.3 F

Incubator 4 Humidity reading:
99.4

Incubator 5 Machine Temp. reading / Calibrator Temp. reading:
Temp. - 99.3  F / calibrator 99.3 F

Incubator 5 Humidity reading:
99.2

Incubator 6 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 6 Humidity reading:
00

Incubator 7 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 7 Humidity reading:
00

Incubator 8 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 8 Humidity reading:
00

Incubator 9 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 100.3 / calibrator 100.3 F. 

Incubator 9 Humidity reading:
00.3

Incubator 10 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 10 Humidity reading:
00

Corrective action taken for un-match machine and calibrator temperature reading after 30 minutes of checking:
Wala

Approver on machine temperature adjustment:
Jimmy Tungol and Sir Tony

Time finished:
3:30 p.m

———————————————
This task was submitted through INCUBATOR TEMPERATURE CALIBRATION
https://form.asana.com/?k=-OgqMf660KEFQdcn3Wkysw&d=1186399537984407",INCUBATOR TEMPERATURE CALIBRATION,,,,Peter Paul Alap-ap ,"Feb 27, 2026",2nd,3:00 pm,"Temp reading - 99.6 F, / calibrator 99.6 F",99.5,Temp reading - 99.4F. / calibrator 99.3 F. ,99.3,Temp reading - 99.5 F. / calibrator - 99.5 F. ,99.3,Temp reading - 99.4 F. Calibrator 99.3 F,99.4,Temp. - 99.3  F / calibrator 99.3 F,99.2,00,00,00,00,00,00,Temp reading - 100.3 / calibrator 100.3 F. ,00.3,00,00,Wala,Jimmy Tungol and Sir Tony,3:30 p.m
"1213418451492730",2026-02-27,,2026-02-27,INCUBATOR TEMPERATURE CALIBRATION submission,Untitled section,,,,,,"Hatcheryman:
Rodel Marimla

Date:
Feb 27, 2026

Shift:
1st

Time started:
7:30 am

Incubator 1 Machine Temp. reading / Calibrator Temp. reading:
99.3 / 99.3

Incubator 1 Humidity reading:
99.3

Incubator 2 Machine Temp. reading / Calibrator Temp. reading:
99.3 / 99.3

Incubator 2 Humidity reading:
99.3

Incubator 3 Machine Temp. reading / Calibrator Temp. reading:
99.3 / 99.3

Incubator 3 Humidity reading:
99.3

Incubator 4 Machine Temp. reading / Calibrator Temp. reading:
99.5 / 99.5

Incubator 4 Humidity reading:
99.5

Incubator 5 Machine Temp. reading / Calibrator Temp. reading:
99.5 / 99.5

Incubator 5 Humidity reading:
99.5

Incubator 6 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 6 Humidity reading:
0

Incubator 7 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 7 Humidity reading:
0

Incubator 8 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 8 Humidity reading:
0

Incubator 9 Machine Temp. reading / Calibrator Temp. reading:
100.2 / 100.2

Incubator 9 Humidity reading:
100.3

Incubator 10 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 10 Humidity reading:
0

Corrective action taken for un-match machine and calibrator temperature reading after 30 minutes of checking:
N/a

Approver on machine temperature adjustment:
N/A

Time finished:
8am

———————————————
This task was submitted through INCUBATOR TEMPERATURE CALIBRATION
https://form.asana.com/?k=-OgqMf660KEFQdcn3Wkysw&d=1186399537984407",INCUBATOR TEMPERATURE CALIBRATION,,,,Rodel Marimla,"Feb 27, 2026",1st,7:30 am,99.3 / 99.3,99.3,99.3 / 99.3,99.3,99.3 / 99.3,99.3,99.5 / 99.5,99.5,99.5 / 99.5,99.5,0,0,0,0,0,0,100.2 / 100.2,100.3,0,0,N/a,N/A,8am
"1213368026421092",2026-02-20,,2026-02-20,INCUBATOR TEMPERATURE CALIBRATION submission,Untitled section,,,,,,"Hatcheryman:
Rodel Marimla

Date:
Feb 20, 2026

Shift:
1st

Time started:
7am

Incubator 1 Machine Temp. reading / Calibrator Temp. reading:
99.5  / 99.5

Incubator 1 Humidity reading:
99.5

Incubator 2 Machine Temp. reading / Calibrator Temp. reading:
99.3 / 99.3

Incubator 2 Humidity reading:
99.3

Incubator 3 Machine Temp. reading / Calibrator Temp. reading:
99.3 / 99.3

Incubator 3 Humidity reading:
99.3

Incubator 4 Machine Temp. reading / Calibrator Temp. reading:
99.3

Incubator 4 Humidity reading:
99.3

Incubator 5 Machine Temp. reading / Calibrator Temp. reading:
99.6 / 99.6

Incubator 5 Humidity reading:
99.6

Incubator 6 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 6 Humidity reading:
0

Incubator 7 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 7 Humidity reading:
0

Incubator 8 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 8 Humidity reading:
0

Incubator 9 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 9 Humidity reading:
0

Incubator 10 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 10 Humidity reading:
0

Corrective action taken for un-match machine and calibrator temperature reading after 30 minutes of checking:
N/a

Approver on machine temperature adjustment:
N/A

Time finished:
7:30 am

———————————————
This task was submitted through INCUBATOR TEMPERATURE CALIBRATION
https://form.asana.com/?k=-OgqMf660KEFQdcn3Wkysw&d=1186399537984407",INCUBATOR TEMPERATURE CALIBRATION,,,,Rodel Marimla,"Feb 20, 2026",1st,7am,99.5  / 99.5,99.5,99.3 / 99.3,99.3,99.3 / 99.3,99.3,99.3,99.3,99.6 / 99.6,99.6,0,0,0,0,0,0,0,0,0,0,N/a,N/A,7:30 am
"1213259074537544",2026-02-13,,2026-02-13,INCUBATOR TEMPERATURE CALIBRATION submission,Untitled section,,,,,,"Hatcheryman:
Rodel Marimla

Date:
Feb 13, 2026

Shift:
1st

Time started:
7am

Incubator 1 Machine Temp. reading / Calibrator Temp. reading:
99.6 - 99.6

Incubator 1 Humidity reading:
99.6

Incubator 2 Machine Temp. reading / Calibrator Temp. reading:
99.6 - 99.6

Incubator 2 Humidity reading:
99.6

Incubator 3 Machine Temp. reading / Calibrator Temp. reading:
99.3 - 99.3

Incubator 3 Humidity reading:
99.3

Incubator 4 Machine Temp. reading / Calibrator Temp. reading:
99.6 - 99.6

Incubator 4 Humidity reading:
99.6

Incubator 5 Machine Temp. reading / Calibrator Temp. reading:
100.0 - 100.0

Incubator 5 Humidity reading:
100.0

Incubator 6 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 6 Humidity reading:
0

Incubator 7 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 7 Humidity reading:
0

Incubator 8 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 8 Humidity reading:
0

Incubator 9 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 9 Humidity reading:
0

Incubator 10 Machine Temp. reading / Calibrator Temp. reading:
0

Incubator 10 Humidity reading:
0

Corrective action taken for un-match machine and calibrator temperature reading after 30 minutes of checking:
N/a

Approver on machine temperature adjustment:
N/A

Time finished:
7:30 am

———————————————
This task was submitted through INCUBATOR TEMPERATURE CALIBRATION
https://form.asana.com/?k=-OgqMf660KEFQdcn3Wkysw&d=1186399537984407",INCUBATOR TEMPERATURE CALIBRATION,,,,Rodel Marimla,"Feb 13, 2026",1st,7am,99.6 - 99.6,99.6,99.6 - 99.6,99.6,99.3 - 99.3,99.3,99.6 - 99.6,99.6,100.0 - 100.0,100.0,0,0,0,0,0,0,0,0,0,0,N/a,N/A,7:30 am
"1212952466780727",2026-01-24,,2026-01-24,INCUBATOR TEMPERATURE CALIBRATION submission,Untitled section,,,,,,"Hatcheryman:
Peter Paul Alap-ap 

Date:
Jan 23, 2026

Shift:
2nd

Time started:
3:00 pm

Incubator 1 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 100.4 F, / calibrator 100.5 F

Incubator 1 Humidity reading:
00.3

Incubator 2 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.5 F. / calibrator 99.4 F. 

Incubator 2 Humidity reading:
99.5

Incubator 3 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.3 F. / calibrator - 99.3 F. 

Incubator 3 Humidity reading:
99.2

Incubator 4 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.5 F. Calibrator 99.6 F

Incubator 4 Humidity reading:
99.7

Incubator 5 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 5 Humidity reading:
00

Incubator 6 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 6 Humidity reading:
00

Incubator 7 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 100.1 F, / calibrator - 100.2 F. 

Incubator 7 Humidity reading:
100.2

Incubator 8 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 100.0 F, / calibrator 100.0 

Incubator 8 Humidity reading:
100.1

Incubator 9 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 9 Humidity reading:
00

Incubator 10 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 10 Humidity reading:
00

Corrective action taken for un-match machine and calibrator temperature reading after 30 minutes of checking:
None 

Approver on machine temperature adjustment:
Jimmy Tungol and Sir Tony

Time finished:
3:30 p.m

———————————————
This task was submitted through INCUBATOR TEMPERATURE CALIBRATION
https://form.asana.com/?k=-OgqMf660KEFQdcn3Wkysw&d=1186399537984407",INCUBATOR TEMPERATURE CALIBRATION,,,,Peter Paul Alap-ap ,"Jan 23, 2026",2nd,3:00 pm,"Temp reading - 100.4 F, / calibrator 100.5 F",00.3,Temp reading - 99.5 F. / calibrator 99.4 F. ,99.5,Temp reading - 99.3 F. / calibrator - 99.3 F. ,99.2,Temp reading - 99.5 F. Calibrator 99.6 F,99.7,00,00,00,00,"Temp reading - 100.1 F, / calibrator - 100.2 F. ",100.2,"Temp reading - 100.0 F, / calibrator 100.0 ",100.1,00,00,00,00,None ,Jimmy Tungol and Sir Tony,3:30 p.m
"1212933380295818",2026-01-23,,2026-01-23,INCUBATOR TEMPERATURE CALIBRATION submission,Untitled section,,,,,,"Hatcheryman:
Bernardo Tiamzon 

Date:
Jan 23, 2026

Shift:
1st

Time started:
7am 

Incubator 1 Machine Temp. reading / Calibrator Temp. reading:
100.4/100.4

Incubator 1 Humidity reading:
100.3

Incubator 2 Machine Temp. reading / Calibrator Temp. reading:
99.6/99.6

Incubator 2 Humidity reading:
99.6

Incubator 3 Machine Temp. reading / Calibrator Temp. reading:
99.4/99.4

Incubator 3 Humidity reading:
99.4

Incubator 4 Machine Temp. reading / Calibrator Temp. reading:
99.4/99.4

Incubator 4 Humidity reading:
99.4

Incubator 5 Machine Temp. reading / Calibrator Temp. reading:
00 

Incubator 5 Humidity reading:
00

Incubator 6 Machine Temp. reading / Calibrator Temp. reading:
00 

Incubator 6 Humidity reading:
00

Incubator 7 Machine Temp. reading / Calibrator Temp. reading:
100 01/100.1

Incubator 7 Humidity reading:
100.05

Incubator 8 Machine Temp. reading / Calibrator Temp. reading:
100.02/99.9

Incubator 8 Humidity reading:
100.05

Incubator 9 Machine Temp. reading / Calibrator Temp. reading:
00 

Incubator 9 Humidity reading:
00

Incubator 10 Machine Temp. reading / Calibrator Temp. reading:
00 

Incubator 10 Humidity reading:
00

Corrective action taken for un-match machine and calibrator temperature reading after 30 minutes of checking:
NA

Approver on machine temperature adjustment:
N/A

Time finished:
7:40

———————————————
This task was submitted through INCUBATOR TEMPERATURE CALIBRATION
https://form.asana.com/?k=-OgqMf660KEFQdcn3Wkysw&d=1186399537984407",INCUBATOR TEMPERATURE CALIBRATION,,,,Bernardo Tiamzon ,"Jan 23, 2026",1st,7am ,100.4/100.4,100.3,99.6/99.6,99.6,99.4/99.4,99.4,99.4/99.4,99.4,00 ,00,00 ,00,100 01/100.1,100.05,100.02/99.9,100.05,00 ,00,00 ,00,NA,N/A,7:40
"1212873324623549",2026-01-20,,2026-01-20,INCUBATOR TEMPERATURE CALIBRATION submission,Untitled section,,,,,,"Hatcheryman:
Bernardo Tiamzon 

Date:
Jan 20, 2026

Shift:
1st

Time started:
7am 

Incubator 1 Machine Temp. reading / Calibrator Temp. reading:
100.5/100.5

Incubator 1 Humidity reading:
100.5

Incubator 2 Machine Temp. reading / Calibrator Temp. reading:
99.7/99.7

Incubator 2 Humidity reading:
99.7

Incubator 3 Machine Temp. reading / Calibrator Temp. reading:
99.8/99.8

Incubator 3 Humidity reading:
99.8

Incubator 4 Machine Temp. reading / Calibrator Temp. reading:
99.9/99.9

Incubator 4 Humidity reading:
99.9

Incubator 5 Machine Temp. reading / Calibrator Temp. reading:
00 

Incubator 5 Humidity reading:
00

Incubator 6 Machine Temp. reading / Calibrator Temp. reading:
00 

Incubator 6 Humidity reading:
00

Incubator 7 Machine Temp. reading / Calibrator Temp. reading:
00 

Incubator 7 Humidity reading:
00

Incubator 8 Machine Temp. reading / Calibrator Temp. reading:
00 

Incubator 8 Humidity reading:
00

Incubator 9 Machine Temp. reading / Calibrator Temp. reading:
00 

Incubator 9 Humidity reading:
00

Incubator 10 Machine Temp. reading / Calibrator Temp. reading:
00 

Incubator 10 Humidity reading:
00

Corrective action taken for un-match machine and calibrator temperature reading after 30 minutes of checking:
NA

Approver on machine temperature adjustment:
N/A

Time finished:
7:40

———————————————
This task was submitted through INCUBATOR TEMPERATURE CALIBRATION
https://form.asana.com/?k=-OgqMf660KEFQdcn3Wkysw&d=1186399537984407",INCUBATOR TEMPERATURE CALIBRATION,,,,Bernardo Tiamzon ,"Jan 20, 2026",1st,7am ,100.5/100.5,100.5,99.7/99.7,99.7,99.8/99.8,99.8,99.9/99.9,99.9,00 ,00,00 ,00,00 ,00,00 ,00,00 ,00,00 ,00,NA,N/A,7:40
"1212844737194209",2026-01-17,,2026-01-17,INCUBATOR TEMPERATURE CALIBRATION submission,Untitled section,,,,,,"Hatcheryman:
Peter Paul Alap-ap 

Date:
Jan 16, 2026

Shift:
2nd

Time started:
3:00 pm

Incubator 1 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 100.4 F, / calibrator 100.4 F

Incubator 1 Humidity reading:
00.5

Incubator 2 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.3 F. / calibrator 99.2 F. 

Incubator 2 Humidity reading:
99.1

Incubator 3 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.3 F. / calibrator - 99.2 F. 

Incubator 3 Humidity reading:
99.2

Incubator 4 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 99.4 F. Calibrator 99.4 F

Incubator 4 Humidity reading:
99.4

Incubator 5 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 5 Humidity reading:
00

Incubator 6 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 6 Humidity reading:
00

Incubator 7 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 100.1 F, / calibrator - 100.1 F. 

Incubator 7 Humidity reading:
00.1

Incubator 8 Machine Temp. reading / Calibrator Temp. reading:
Temp reading - 100.1  F, / calibrator 100.0 F

Incubator 8 Humidity reading:
00.1

Incubator 9 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 9 Humidity reading:
00

Incubator 10 Machine Temp. reading / Calibrator Temp. reading:
00

Incubator 10 Humidity reading:
00

Corrective action taken for un-match machine and calibrator temperature reading after 30 minutes of checking:
None 

Approver on machine temperature adjustment:
Jimmy Tungol and Sir Tony

Time finished:
3:30 p.m

———————————————
This task was submitted through INCUBATOR TEMPERATURE CALIBRATION
https://form.asana.com/?k=-OgqMf660KEFQdcn3Wkysw&d=1186399537984407",INCUBATOR TEMPERATURE CALIBRATION,,,,Peter Paul Alap-ap ,"Jan 16, 2026",2nd,3:00 pm,"Temp reading - 100.4 F, / calibrator 100.4 F",00.5,Temp reading - 99.3 F. / calibrator 99.2 F. ,99.1,Temp reading - 99.3 F. / calibrator - 99.2 F. ,99.2,Temp reading - 99.4 F. Calibrator 99.4 F,99.4,00,00,00,00,"Temp reading - 100.1 F, / calibrator - 100.1 F. ",00.1,"Temp reading - 100.1  F, / calibrator 100.0 F",00.1,00,00,00,00,None ,Jimmy Tungol and Sir Tony,3:30 p.m
